Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f68ceebfb4fa8ac54305f7ac13dd838d7e7d524415ca8fa40e2da8f954567775,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.753436,53.364654,On or near ALVERTON CLOSE,E01012443,Halton 008D,Unable to prosecute suspect
f231c2bc0fc123d8ca35b2af6e7bc135b2f10a9819ec9644e6e7e7ada487ba82,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.461919,53.110387,On or near RAILTON AVENUE,E01018484,Cheshire East 037C,Investigation complete; no suspect identified
54459fdf3ad45566ffcf35a71879ca59a5d97b889bbe5ce6deb1d092aa15d042,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.441711,53.097645,On or near MARKET SQUARE,E01018464,Cheshire East 039B,Investigation complete; no suspect identified
dfb56161273bf445c4872bbe473e612af5a1eca2cefbdd00fc0cd4d5992296a9,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.942328,53.268280,On or near WHEATFIELD CLOSE,E01018560,Cheshire West and Chester 009E,Unable to prosecute suspect
a00ecb5de25366af6d1b4e271ae9f456e8debe7cb79472b8ee890dc7c54a01b3,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.462601,53.114025,On or near MERLIN COURT,E01018474,Cheshire East 034C,Unable to prosecute suspect
9140dac09c2aea037517b9f1d2554e0a1e2dba981468d19db166d343c8ca0b6b,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.461641,53.076041,On or near SALANDER CRESCENT,E01018505,Cheshire East 046D,Unable to prosecute suspect
9ccca5f2e655bc18900ccb74b53a231d04b2c225deacdaa3defd5977b5a58873,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.652491,53.394876,On or near CHARLES AVENUE,E01012492,Warrington 015B,Investigation complete; no suspect identified
ba923233a192f3186ae3428448c81683d5157a426fcfff60252f422988ab1752,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.636917,53.416362,On or near Motorway Service Area,E01012562,Warrington 009B,Investigation complete; no suspect identified
a8fcfb853cbb6b2ac68bb6bcfec6ac20b29aa15a633607f4a29adbf9e4d60dc0,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.432097,53.102499,On or near SPRING GARDENS,E01018463,Cheshire East 035A,Unable to prosecute suspect
220acddf7b2415f077a841a97351996f5df3b193aa4d484947cbd83c9018b2f8,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.857418,53.194887,On or near CAMBRIAN AVENUE,E01018383,Cheshire West and Chester 032D,Unable to prosecute suspect
605f2ff75831de912d96d01d8b68b9b731c62151feef0b1dd89ae680d3b1240f,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.562238,53.385043,On or near Supermarket,E01012507,Warrington 020D,Investigation complete; no suspect identified
74e90fb653925ea2539140aab38521fd4b16b8be439f18d5078f4acceb55b7c9,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.562238,53.385043,On or near Supermarket,E01012507,Warrington 020D,Investigation complete; no suspect identified
03e2a7867f692228718a65eaab9fb6b2ef0e4608fb2b07a7575ca268048671ed,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.739058,53.364879,On or near Parking Area,E01012424,Halton 007C,Unable to prosecute suspect
23ec63664ebf591804da41157c0fc3ed248426f9ac6bdf8613ede9b846f062bd,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.460875,53.095110,On or near SOMERFORD AVENUE,E01018498,Cheshire East 039E,Investigation complete; no suspect identified
f140f9beba2b2f2a321378fdf2b5b899a19cf6403513a05c29beeed3ca331f7d,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.554438,53.382940,On or near GASKELL AVENUE,E01012508,Warrington 020E,Unable to prosecute suspect
3b782a55837e51aa1d912e57a5a0ddbf15faf1a41a7d61d9fadaefa402730267,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.142044,53.247210,On or near CRAIG ROAD,E01018636,Cheshire East 018G,Investigation complete; no suspect identified
59b59fc04209dde92f06f190a97ae41573d20b6dc9639409c42d6ac71ae58cfe,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.602294,53.401261,On or near HAWTHORNE STREET,E01012454,Warrington 013B,Unable to prosecute suspect
e139aaf67c6f5983782e11287edf25d55d507951696fa45d15b881ce7df98051,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.648750,53.394060,On or near WHITTLE HALL LANE,E01012492,Warrington 015B,Investigation complete; no suspect identified
595751f3a3cf51d361ac4e919367e0a1481b2a2fa66a2f1df45a42180769e1c9,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.123603,53.343113,On or near BARDELL CLOSE,E01018657,Cheshire East 002A,Unable to prosecute suspect
1134da28c65216acb78ac5a2c1123870f733e2529b7a5399632481056a57d9dc,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.457936,53.102447,On or near MONK STREET,E01018466,Cheshire East 036D,Investigation complete; no suspect identified
a42b64cd2d9e46b0ab95f7afeeb1b8fdc58419a5739fb5720e92ed045575b8aa,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.211911,53.162692,On or near Nightclub,E01018399,Cheshire East 027B,Investigation complete; no suspect identified
f289bed87684d13ca2cde6e5c146190d95d1cc45414815b40a8f0f18b03ee1cc,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.390724,53.097482,On or near MOUNT PLEASANT,E01018469,Cheshire East 041C,Unable to prosecute suspect
358b193d50a3068e1156c6de0c61da5ff9331f6540df137f4dc40adaf2b21088,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.592362,53.390057,On or near TOWN HILL,E01033300,Warrington 018F,Investigation complete; no suspect identified
0be1b88122dae497b288b1e25838d18329d22b54a6bfa495407a8e41b56c2348,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.214697,53.163541,On or near SWAN BANK,E01018402,Cheshire East 027C,Unable to prosecute suspect
b14843805c82ae97af1db1be1fd3ac4b7b869c1ef2a5899a96f102a5cb172995,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.547079,53.185210,On or near MALVERN WAY,E01018739,Cheshire West and Chester 040C,Unable to prosecute suspect
8380b44309d32c6572deddb1cfd68ccae18fc2662063accba0322c9d20750f7f,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.897303,53.272690,On or near WEST ROAD,E01018521,Cheshire West and Chester 011A,Unable to prosecute suspect
b61c700b19f5a94499e7fc281cf6f90b90b241d558887c6016756bce724d5ab3,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.210647,53.164240,On or near MOUNTBATTEN WAY,E01018402,Cheshire East 027C,Unable to prosecute suspect
c326dc9091c04e5eefd669e878a9f6d87ffa705998af1a3affbd0ac5f6aa7702,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.903412,53.203931,On or near A5480,E01018310,Cheshire West and Chester 029B,Investigation complete; no suspect identified
74ce12ff57bef14b06240a050d606c21c613f5939d38ce51c24787e311b40f4c,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.666978,53.343272,On or near DEREHAM WAY,E01012386,Halton 009B,Unable to prosecute suspect
243006f1873d8243b20676fc66a5a80d740411d86c0bebdb014b36ebaf224c1d,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.498466,53.068323,On or near Shopping Area,E01018508,Cheshire East 048D,Investigation complete; no suspect identified
77eb3b5ec4036302b22b89ac2a1f4522e1ca1407d54d37abf2ec93cec509caff,2020-08,Cheshire Constabulary,Cheshire Constabulary,-2.891088,53.190828,On or near Nightclub,E01018326,Cheshire West and Chester 034A,Further investigation is not in the public interest
